ids,labels,parents
NCAA,NCAA,
ACC-NCAA,ACC,NCAA
BE-NCAA,BE,NCAA
B12-NCAA,B12,NCAA
P12-NCAA,P12,NCAA
A10-NCAA,A10,NCAA
AE-NCAA,AE,NCAA
Amer-NCAA,Amer,NCAA
ASun-NCAA,ASun,NCAA
B10-NCAA,B10,NCAA
BSky-NCAA,BSky,NCAA
BSth-NCAA,BSth,NCAA
BW-NCAA,BW,NCAA
CAA-NCAA,CAA,NCAA
CUSA-NCAA,CUSA,NCAA
Horz-NCAA,Horz,NCAA
Ivy-NCAA,Ivy,NCAA
MAAC-NCAA,MAAC,NCAA
MAC-NCAA,MAC,NCAA
MEAC-NCAA,MEAC,NCAA
MVC-NCAA,MVC,NCAA
MWC-NCAA,MWC,NCAA
NEC-NCAA,NEC,NCAA
OVC-NCAA,OVC,NCAA
Pat-NCAA,Pat,NCAA
SB-NCAA,SB,NCAA
SC-NCAA,SC,NCAA
SEC-NCAA,SEC,NCAA
Slnd-NCAA,Slnd,NCAA
Sum-NCAA,Sum,NCAA
SWAC-NCAA,SWAC,NCAA
WAC-NCAA,WAC,NCAA
WCC-NCAA,WCC,NCAA
ACC-NCAA-North Carolina,North Carolina,ACC-NCAA
BE-NCAA-Villanova,Villanova,BE-NCAA
ACC-NCAA-Notre Dame,Notre Dame,ACC-NCAA
ACC-NCAA-Virginia,Virginia,ACC-NCAA
B12-NCAA-Kansas,Kansas,B12-NCAA
P12-NCAA-Oregon,Oregon,P12-NCAA
ACC-NCAA-Syracuse,Syracuse,ACC-NCAA
B12-NCAA-Oklahoma,Oklahoma,B12-NCAA
A10-NCAA-Davidson,Davidson,A10-NCAA
A10-NCAA-Duquesne,Duquesne,A10-NCAA
A10-NCAA-Fordham,Fordham,A10-NCAA
A10-NCAA-George Mason,George Mason,A10-NCAA
A10-NCAA-George Washington,George Washington,A10-NCAA
A10-NCAA-La Salle,La Salle,A10-NCAA
A10-NCAA-Massachusetts,Massachusetts,A10-NCAA
A10-NCAA-Rhode Island,Rhode Island,A10-NCAA
A10-NCAA-Richmond,Richmond,A10-NCAA
A10-NCAA-Saint Louis,Saint Louis,A10-NCAA
A10-NCAA-St. Bonaventure,St. Bonaventure,A10-NCAA
ACC-NCAA-Boston College,Boston College,ACC-NCAA
ACC-NCAA-Clemson,Clemson,ACC-NCAA
ACC-NCAA-Florida St.,Florida St.,ACC-NCAA
ACC-NCAA-Georgia Tech,Georgia Tech,ACC-NCAA
ACC-NCAA-Louisville,Louisville,ACC-NCAA
ACC-NCAA-North Carolina St.,North Carolina St.,ACC-NCAA
ACC-NCAA-Virginia Tech,Virginia Tech,ACC-NCAA
ACC-NCAA-Wake Forest,Wake Forest,ACC-NCAA
AE-NCAA-Albany,Albany,AE-NCAA
AE-NCAA-Binghamton,Binghamton,AE-NCAA
AE-NCAA-Hartford,Hartford,AE-NCAA
AE-NCAA-Maine,Maine,AE-NCAA
AE-NCAA-New Hampshire,New Hampshire,AE-NCAA
AE-NCAA-UMass Lowell,UMass Lowell,AE-NCAA
AE-NCAA-UMBC,UMBC,AE-NCAA
AE-NCAA-Vermont,Vermont,AE-NCAA
Amer-NCAA-East Carolina,East Carolina,Amer-NCAA
Amer-NCAA-Houston,Houston,Amer-NCAA
Amer-NCAA-Memphis,Memphis,Amer-NCAA
