ids,labels,parents
NCAA,NCAA,
B12-NCAA,B12,NCAA
ACC-NCAA,ACC,NCAA
B10-NCAA,B10,NCAA
SEC-NCAA,SEC,NCAA
WCC-NCAA,WCC,NCAA
A10-NCAA,A10,NCAA
AE-NCAA,AE,NCAA
Amer-NCAA,Amer,NCAA
ASun-NCAA,ASun,NCAA
BE-NCAA,BE,NCAA
BSky-NCAA,BSky,NCAA
BSth-NCAA,BSth,NCAA
BW-NCAA,BW,NCAA
CAA-NCAA,CAA,NCAA
CUSA-NCAA,CUSA,NCAA
Horz-NCAA,Horz,NCAA
Ivy-NCAA,Ivy,NCAA
MAAC-NCAA,MAAC,NCAA
MAC-NCAA,MAC,NCAA
MEAC-NCAA,MEAC,NCAA
MVC-NCAA,MVC,NCAA
MWC-NCAA,MWC,NCAA
NEC-NCAA,NEC,NCAA
OVC-NCAA,OVC,NCAA
P12-NCAA,P12,NCAA
Pat-NCAA,Pat,NCAA
SB-NCAA,SB,NCAA
SC-NCAA,SC,NCAA
Slnd-NCAA,Slnd,NCAA
Sum-NCAA,Sum,NCAA
SWAC-NCAA,SWAC,NCAA
WAC-NCAA,WAC,NCAA
B12-NCAA-Texas Tech,Texas Tech,B12-NCAA
ACC-NCAA-Virginia,Virginia,ACC-NCAA
ACC-NCAA-Duke,Duke,ACC-NCAA
B10-NCAA-Purdue,Purdue,B10-NCAA
SEC-NCAA-Kentucky,Kentucky,SEC-NCAA
WCC-NCAA-Gonzaga,Gonzaga,WCC-NCAA
B10-NCAA-Michigan St.,Michigan St.,B10-NCAA
SEC-NCAA-Auburn,Auburn,SEC-NCAA
A10-NCAA-Davidson,Davidson,A10-NCAA
A10-NCAA-Dayton,Dayton,A10-NCAA
A10-NCAA-Duquesne,Duquesne,A10-NCAA
A10-NCAA-Fordham,Fordham,A10-NCAA
A10-NCAA-George Mason,George Mason,A10-NCAA
A10-NCAA-George Washington,George Washington,A10-NCAA
A10-NCAA-La Salle,La Salle,A10-NCAA
A10-NCAA-Massachusetts,Massachusetts,A10-NCAA
A10-NCAA-Rhode Island,Rhode Island,A10-NCAA
A10-NCAA-Richmond,Richmond,A10-NCAA
A10-NCAA-Saint Joseph's,Saint Joseph's,A10-NCAA
A10-NCAA-St. Bonaventure,St. Bonaventure,A10-NCAA
ACC-NCAA-Boston College,Boston College,ACC-NCAA
ACC-NCAA-Clemson,Clemson,ACC-NCAA
ACC-NCAA-Georgia Tech,Georgia Tech,ACC-NCAA
ACC-NCAA-Miami FL,Miami FL,ACC-NCAA
ACC-NCAA-North Carolina St.,North Carolina St.,ACC-NCAA
ACC-NCAA-Notre Dame,Notre Dame,ACC-NCAA
ACC-NCAA-Pittsburgh,Pittsburgh,ACC-NCAA
ACC-NCAA-Wake Forest,Wake Forest,ACC-NCAA
AE-NCAA-Albany,Albany,AE-NCAA
AE-NCAA-Binghamton,Binghamton,AE-NCAA
AE-NCAA-Hartford,Hartford,AE-NCAA
AE-NCAA-Maine,Maine,AE-NCAA
AE-NCAA-New Hampshire,New Hampshire,AE-NCAA
AE-NCAA-Stony Brook,Stony Brook,AE-NCAA
AE-NCAA-UMass Lowell,UMass Lowell,AE-NCAA
AE-NCAA-UMBC,UMBC,AE-NCAA
Amer-NCAA-Connecticut,Connecticut,Amer-NCAA
Amer-NCAA-East Carolina,East Carolina,Amer-NCAA
Amer-NCAA-Memphis,Memphis,Amer-NCAA
Amer-NCAA-SMU,SMU,Amer-NCAA
Amer-NCAA-South Florida,South Florida,Amer-NCAA
Amer-NCAA-Tulane,Tulane,Amer-NCAA
Amer-NCAA-Tulsa,Tulsa,Amer-NCAA
Amer-NCAA-Wichita St.,Wichita St.,Amer-NCAA
ASun-NCAA-Florida Gulf Coast,Florida Gulf Coast,ASun-NCAA
ASun-NCAA-Jacksonville,Jacksonville,ASun-NCAA
ASun-NCAA-Kennesaw St.,Kennesaw St.,ASun-NCAA
ASun-NCAA-Lipscomb,Lipscomb,ASun-NCAA
ASun-NCAA-NJIT,NJIT,ASun-NCAA
ASun-NCAA-North Alabama,North Alabama,ASun-NCAA
ASun-NCAA-North Florida,North Florida,ASun-NCAA
ASun-NCAA-Stetson,Stetson,ASun-NCAA
B10-NCAA-Illinois,Illinois,B10-NCAA
B10-NCAA-Indiana,Indiana,B10-NCAA
B10-NCAA-Nebraska,Nebraska,B10-NCAA
B10-NCAA-Northwestern,Northwestern,B10-NCAA
B10-NCAA-Penn St.,Penn St.,B10-NCAA
B10-NCAA-Rutgers,Rutgers,B10-NCAA
B12-NCAA-Oklahoma St.,Oklahoma St.,B12-NCAA
B12-NCAA-TCU,TCU,B12-NCAA
B12-NCAA-Texas,Texas,B12-NCAA
B12-NCAA-West Virginia,West Virginia,B12-NCAA
BE-NCAA-Butler,Butler,BE-NCAA
BE-NCAA-Creighton,Creighton,BE-NCAA
BE-NCAA-DePaul,DePaul,BE-NCAA
BE-NCAA-Georgetown,Georgetown,BE-NCAA
BE-NCAA-Providence,Providence,BE-NCAA
BE-NCAA-Xavier,Xavier,BE-NCAA
BSky-NCAA-Eastern Washington,Eastern Washington,BSky-NCAA
BSky-NCAA-Idaho,Idaho,BSky-NCAA
BSky-NCAA-Idaho St.,Idaho St.,BSky-NCAA
